%time,field.data
1439976734559931993, -323   282   936 -5530 -14698 -14003    32  -206  -326

1439976734599984884, -326   540   832 -1074 -9361 -11678    30  -203  -329

1439976734639837026, -381   391   926 -3175 -10538 -15965    47  -198  -336

1439976734679773092, -225   275   953 -1761 -8377 -4659    45  -193  -342

1439976734720397949,   40   112   924 -2361 -7645 -10066    38  -184  -346

1439976734759979009,  -65  -238  1010  1322 -6891 -8587    49  -185  -347

1439976734799597978,   78   149   831   -48 -7508 -3185    36  -187  -343

1439976734840243101,  148    76   893  1885 -5393 -4232    27  -193  -337

1439976734880333900,  191   175   858    47 -6611  1195     6  -195  -332

1439976734919996023,  464   -25   840   525 -3947  2881   -21  -190  -327

1439976734959844112,  334    89   861   723 -4929  1776   -35  -189  -321

1439976734999644994,  712   -85   785   809 -3621  1635   -57  -188  -314

1439976735039910078,  654   -68   812  1828 -2047  2526   -72  -186  -306

1439976735081039905,  715   -34   796  2287 -1004  2748   -87  -185  -300

1439976735119791984,  646   -25   818  3484  1166  7259  -102  -183  -291

1439976735160845994,  723   -56   820  2260  1234 11522  -126  -167  -286

1439976735199769973,  761  -139   839  3194  2544 12243  -151  -142  -283

1439976735239883899,  746  -158   865  4558  4219 15209  -172  -109  -284

1439976735279901981,  625  -250   947  3349  4080 17101  -188   -64  -294

1439976735320063114,  562  -363   997  5738  4250 18174  -195   -13  -303

1439976735359937906,  556  -467   938  5240  4229 15262  -193    31  -313

1439976735399612903,  346  -441   961  7549  5234 21709  -176    75  -331

1439976735440299987,  490  -269   948  4090  4318 18965  -147   130  -347

1439976735480153083,  191  -402   999  5813  5937 10793  -114   152  -369

1439976735520190954,  235  -214   905  5147  5720 15110   -75   165  -389

1439976735559966087,   93   -98   889  4906  6559  7441   -35   169  -408

1439976735599934101, -139   -18   912  3486  6651  4763     2   157  -423

1439976735640902042,   59   -43   871  3300  6091  4443    36   152  -431

1439976735679806947, -150    17   943  4817  7629   124    69   133  -439

1439976735719865083, -382    67   938  2883  5514 -1047   100   117  -443

1439976735759547948, -508    69   864  3773  3649 -5405   121   104  -444

1439976735799844980, -644   269   849  3503   890 -6055   129    90  -445

1439976735840682029, -731   190   903  1595 -2949 -10604   122    84  -444

1439976735880178928,-1008   -37   957   606 -8703 -17928    89    84  -443

1439976735920222997, -984    67  1069  1626 -13795 -19447    28    74  -436

1439976735959898948, -854    79   969  4177 -17889 -18025   -27    46  -419

1439976736000356912, -238  -185   910  4296 -18694 -10031  -103     1  -377

1439976736039589881,  123   109   754  3117 -16405 -1148  -165   -28  -325

1439976736079571962,  449  -145   960  1298 -14642 -3090  -212   -38  -271

1439976736120054960,  377   -62   897  4817 -12152  3013  -242   -45  -216

1439976736160005092,  801   124   728  2064 -10342  3258  -267   -30  -165

1439976736200376987,  621  -131   792  4221 -9223   319  -278   -28  -122

1439976736240024089,  881    37   665  3138 -6413  3586  -282   -20   -81

1439976736280601978,  595  -201   647  4590 -5625  5199  -283     4   -54

1439976736320271015,  817  -252   496  5811 -5864  5759  -282    33   -25

1439976736359774112,  807  -274   456  6218 -3577  6501  -276    68    -5

1439976736399866104,  969  -256   427  7497 -1326  7751  -268   109     4

1439976736440191030,  812  -273   475  8411   -62  7285  -258   152    -1

1439976736480003118,  853  -367   476  8442   210  8070  -246   194   -13

1439976736519952058,  828  -319   530  9043  1028  8749  -227   239   -33

1439976736560033082,  734  -404   529  8568  1103  8345  -205   280   -57

1439976736599575996,  890  -712   602  9012  1507  7718  -180   311   -85

1439976736640342950,  836  -437   572 11006  5567 11169  -147   341  -130

1439976736679857969,  716  -475   621  9773  5812 11715   -98   368  -183

1439976736719613075,  743  -492   756 10441  6121 10198   -48   378  -232

1439976736759882926,  532  -436   767 10687  6651 11021     6   372  -283

1439976736800134897,  631  -409   898  9632  7238 10480    63   355  -323

1439976736839869976,  420  -228   883  9104  7820  9101   118   329  -355

1439976736879724979,  143  -169   982  8891  7300  9521   170   291  -379

1439976736919703006,   67  -128  1043  7707  6606  8153   214   250  -391

1439976736960963010,   49   -63   953  5948  6383  9066   243   223  -392

1439976736999766111, -132   179  1050  5785  6496  8366   283   182  -389

1439976737039599895, -164   200  1002  3347  3644  5136   306   146  -381

1439976737080558061,   -4   154   897  4063  2797  2303   322   127  -375

1439976737120357990, -224   239   953  5083  3002  -221   332   106  -368

1439976737160478115, -357   170   934  4000  2356 -1345   341    92  -361

1439976737200424909, -444   295   871  3761  1504 -3056   347    87  -356

1439976737239882946, -503   415   855  1446  -354 -5833   351    89  -353

1439976737280177116, -682   281   914 -1022 -3971 -18140   345   124  -357

1439976737320408105, -612   266  1005 -3238 -6381 -22952   309   193  -370

1439976737359919071, -662   118  1043  -999 -6912 -23147   252   253  -376

1439976737399873971, -501    33  1016 -1102 -8643 -21601   172   283  -379

1439976737439892053, -321   -75  1053 -1906 -8779 -16896    89   295  -371

1439976737479979038, -394     8   983 -1263 -7765 -16142    19   290  -358

1439976737520258903, -328  -211  1061 -1485 -10549 -19327   -59   267  -336

1439976737560240983,   83  -271  1002  1599 -9699 -14127  -132   223  -306

1439976737600136995,  199   -24   931  2705 -8465 -12100  -179   177  -280

1439976737640810966,  484  -162   909  3916 -8253 -16279  -220   110  -248

1439976737680254936,  490   -27   862  4796 -4911 -11930  -240    47  -224

